id,class
1,E
3,G
5,D
7,E
9,C
11,E
13,D
15,B
17,E
19,G
21,G
23,B
25,B
27,G
29,E
31,B
33,G
35,B
37,E
39,C
41,D
43,E
45,D
47,E
49,E
51,D
53,D
55,F
57,A
59,D
61,G
63,A
65,G
67,D
69,G
71,G
73,D
75,F
77,E
79,D
81,G
83,F
85,F
87,E
89,G
91,E
93,G
95,D
97,G
99,D
101,E
103,E
105,G
107,G
109,G
111,G
113,C
115,F
117,F
119,D
121,F
123,G
125,E
127,C
129,F
131,C
133,B
135,D
137,G
139,G
141,B
143,F
145,E
147,D
149,G
151,D
153,G
155,D
157,D
159,E
161,D
163,G
165,G
167,G
169,G
171,G
173,E
175,E
177,A
179,E
181,C
183,G
185,G
187,D
189,F
191,G
193,E
195,G
197,F
199,E
201,E
203,B
205,F
207,D
209,F
211,D
213,G
215,F
217,E
219,E
221,G
223,E
225,E
227,E
229,C
231,F
233,G
235,G
237,G
239,E
241,D
243,C
245,E
247,G
249,D
251,G
253,E
255,G
257,D
259,G
261,G
263,F
265,F
267,G
269,G
271,D
273,E
275,G
277,G
279,D
281,E
283,E
285,E
287,E
289,F
291,D
293,D
295,G
297,D
299,B
301,F
303,F
305,F
307,F
309,D
311,G
313,F
315,G
317,F
319,G
321,B
323,E
325,E
327,G
329,G
331,F
333,G
335,E
337,F
339,B
341,G
343,G
345,E
347,E
349,G
351,E
353,G
355,D
357,G
359,E
361,G
363,B
365,E
367,E
369,D
371,D
373,D
375,A
377,F
379,G
381,G
383,B
385,F
387,D
389,E
391,D
393,G
395,E
397,D
399,G
401,E
403,G
405,G
407,D
409,D
411,D
413,E
415,G
417,F
419,C
421,G
423,D
425,D
427,D
429,G
431,B
433,G
435,G
437,G
439,G
441,D
443,B
445,G
447,B
449,B
451,E
453,D
455,E
457,E
459,C
461,E
463,G
465,G
467,E
469,E
471,D
473,E
475,A
477,E
479,E
481,G
483,G
485,C
487,D
489,F
491,E
493,E
495,G
497,G
499,D
501,D
503,E
505,G
507,E
509,B
511,B
513,G
515,E
517,G
519,D
521,F
523,E
525,F
527,E
529,D
531,G
533,G
535,G
537,D
539,D
541,D
543,F
545,E
547,G
549,E
551,G
553,B
555,D
557,D
559,D
561,F
563,F
565,E
567,F
569,E
571,B
573,D
575,G
577,E
579,E
581,D
583,E
585,G
587,B
589,E
591,E
593,E
595,E
597,A
599,D
601,E
603,G
605,E
607,A
609,G
611,F
613,F
615,D
617,D
619,F
621,G
623,G
625,E
627,D
629,E
631,D
633,G
635,D
637,F
639,E
641,C
643,G
645,G
647,G
649,E
651,F
653,D
655,G
657,E
659,E
661,E
663,E
665,D
667,E
669,D
671,G
673,G
675,G
677,G
679,E
681,G
683,D
685,E
687,D
689,B
691,D
693,G
695,G
697,D
699,D
701,F
703,B
705,G
707,F
709,F
711,A
713,E
715,D
717,D
719,D
721,E
723,F
725,G
727,G
729,D
731,F
733,G
735,C
737,D
739,C
741,D
743,G
745,G
747,D
749,G
751,D
753,G
755,E
757,E
759,F
761,D
763,E
765,E
767,G
769,A
771,B
773,B
775,E
777,C
779,F
781,B
783,G
785,G
787,G
789,D
791,F
793,F
795,A
797,E
799,B
801,E
803,G
805,F
807,B
809,E
811,F
813,D
815,G
817,G
819,C
821,D
823,D
825,F
827,F
829,G
831,F
833,A
835,F
837,G
839,D
841,D
843,F
845,G
847,G
849,D
851,G
853,D
855,G
857,E
859,D
861,D
863,F
865,D
867,D
869,F
871,B
873,D
875,F
877,E
879,A
881,F
883,D
885,E
887,G
889,E
891,E
893,F
895,D
897,D
899,E
901,E
903,C
905,D
907,D
909,E
911,B
913,E
915,G
917,G
919,E
921,F
923,C
925,F
927,C
929,G
931,G
933,E
935,F
937,G
939,E
941,G
943,E
945,D
947,D
949,D
951,F
953,G
955,G
957,G
959,G
961,F
963,G
965,D
967,G
969,G
971,G
973,E
975,E
977,G
979,F
981,G
983,G
985,D
987,G
989,C
991,F
993,E
995,G
997,G
999,B
1001,C
1003,G
1005,C
1007,E
1009,G
1011,B
1013,G
1015,G
1017,B
1019,G
1021,E
1023,D
1025,D
1027,G
1029,F
1031,G
1033,G
1035,G
1037,D
1039,B
1041,G
1043,G
1045,G
1047,D
1049,D
1051,G
1053,D
1055,A
1057,E
1059,E
1061,G
1063,E
1065,G
1067,E
1069,D
1071,C
1073,G
1075,D
1077,D
1079,F
1081,D
1083,D
1085,G
1087,E
1089,G
1091,D
1093,G
1095,E
1097,D
1099,D
1101,E
1103,E
1105,G
1107,D
1109,G
1111,A
1113,G
1115,B
1117,A
1119,E
1121,D
1123,E
1125,G
1127,G
1129,G
1131,G
1133,B
1135,C
1137,F
1139,F
1141,D
1143,G
1145,D
1147,D
1149,G
1151,D
1153,G
1155,D
1157,E
1159,D
1161,G
1163,F
1165,F
1167,E
1169,F
1171,E
1173,G
1175,D
1177,G
1179,G
1181,G
1183,G
1185,C
1187,E
1189,G
1191,G
1193,E
1195,E
1197,G
1199,G
1201,G
1203,G
1205,F
1207,G
1209,D
1211,A
1213,G
1215,D
1217,D
1219,G
1221,E
1223,E
1225,G
1227,A
1229,E
1231,G
1233,F
1235,E
1237,B
1239,D
1241,D
1243,E
1245,D
1247,E
1249,G
1251,E
1253,E
1255,D
1257,D
1259,A
1261,F
1263,D
1265,B
1267,E
1269,B
1271,G
1273,B
1275,B
1277,G
1279,D
1281,D
1283,D
1285,E
1287,D
1289,G
1291,D
1293,F
1295,G
1297,G
1299,E
1301,G
1303,D
1305,E
1307,E
1309,E
1311,F
1313,F
1315,F
1317,F
1319,E
1321,B
1323,G
1325,G
1327,G
1329,G
1331,G
1333,G
1335,G
1337,E
1339,D
1341,A
1343,G
1345,G
1347,E
1349,G
1351,G
1353,C
1355,F
1357,G
1359,G
1361,E
1363,E
1365,D
1367,F
1369,G
1371,G
1373,E
1375,F
1377,E
1379,E
1381,G
1383,E
1385,A
1387,E
1389,F
1391,E
1393,E
1395,D
1397,E
1399,A
1401,G
1403,D
1405,G
1407,G
1409,G
1411,G
1413,F
1415,D
1417,D
1419,G
1421,G
1423,F
1425,G
1427,D
1429,E
1431,D
1433,F
1435,G
1437,D
1439,D
1441,F
1443,G
1445,G
1447,G
1449,G
1451,G
1453,G
1455,F
1457,D
1459,D
1461,E
1463,C
1465,G
1467,G
1469,C
1471,G
1473,D
1475,G
1477,G
1479,G
1481,D
1483,G
1485,G
1487,E
1489,B
1491,G
1493,G
1495,E
1497,F
1499,C
1501,B
1503,F
1505,G
1507,E
1509,E
1511,E
1513,C
1515,G
1517,G
1519,E
1521,G
1523,G
1525,G
1527,D
1529,E
1531,E
1533,D
1535,D
1537,G
1539,G
1541,E
1543,D
1545,G
1547,B
1549,G
1551,G
1553,G
1555,F
1557,E
1559,E
1561,F
1563,G
1565,G
1567,F
1569,G
1571,F
1573,G
1575,G
1577,E
1579,F
1581,F
1583,F
1585,G
1587,G
1589,D
1591,F
1593,D
1595,D
1597,E
1599,C
