id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,class
0,21.754551,-9.061572,-6.260555,17.105104,-7.931253,18.665724,-20.574977,4.522313,-9.428453,-3.441898,0.063335,-12.128157,16.915358,-9.035745,7.786735,9.800922,-9.251956,15.176581,-18.379107,-9.908876,A,E,C,A,D,D,A,G
2,16.133239,-9.142534,-3.725612,17.414642,-7.843465,18.627253,-18.113234,0.756394,-1.713193,-4.080438,-0.039289,-18.243687,13.866427,-20.440775,16.021572,9.748852,-9.281247,15.068331,-5.934112,-8.621282,A,G,C,C,D,D,A,G
4,17.470780,-9.204687,-3.358596,17.203143,-7.927872,18.614991,-18.271812,0.260272,-1.711970,-4.214618,0.080986,-18.944783,14.500104,-20.450951,16.072552,9.784429,-9.290584,15.045586,15.246502,-8.754558,C,A,C,B,C,E,G,F
6,22.381915,-11.275073,-4.088679,17.198187,-7.903931,18.576920,-17.877085,1.246497,-8.933194,-4.442753,0.399733,-13.099715,16.949349,-10.314795,6.683148,9.785263,-9.319574,15.006916,19.514075,-7.496780,D,A,B,B,C,A,G,F
8,21.839868,-11.752235,-2.225605,17.663014,-7.439467,18.692687,-18.367903,-1.623479,-8.734139,-3.365932,-0.041798,-12.869065,17.059030,-10.724578,7.180757,9.707077,-9.231428,15.189461,-6.686045,-11.154692,B,F,C,B,A,D,D,F
10,14.563909,-9.285574,-6.208741,17.285745,-7.999434,18.535533,-19.501149,4.420163,-2.506154,-4.951893,0.187836,-16.239441,12.690946,-19.267495,15.483233,9.770534,-9.351091,14.920625,-12.324244,-11.407292,C,A,A,B,B,E,G,F
12,24.295333,-11.154418,-7.610794,16.823350,-8.349545,18.565041,-18.238158,6.745869,-9.064708,-4.337550,0.939777,-14.508512,17.941894,-10.099610,6.712654,9.848323,-9.328619,15.024748,8.320896,-12.899647,C,D,B,A,E,E,A,G
14,22.442627,-11.744068,-8.467231,17.041300,-7.724820,18.575388,-18.361801,8.062138,-8.740171,-4.371276,0.275310,-13.335574,16.977095,-10.713959,7.170211,9.811655,-9.320740,15.019032,7.590174,-8.691696,B,B,B,C,B,D,A,G
16,20.874529,-11.616558,-3.612176,17.514205,-7.759069,18.707242,-20.424624,0.426900,-9.369813,-3.034293,0.290533,-11.485074,16.615425,-9.819391,7.741677,9.732105,-9.220348,15.245688,-1.744217,-9.371728,A,A,C,C,D,D,B,G
18,20.740104,-11.246975,-3.077847,17.411407,-8.014954,18.685652,-19.969396,-0.402358,-9.449209,-3.190994,0.530923,-11.301855,16.462063,-9.600898,7.337729,9.749396,-9.236784,15.219120,34.303930,-10.712952,B,A,B,B,D,B,G,G
